# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jul 27 20:44:35 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
24 Sex c,1,2,Radial Velocity,883.00000000000,32.40000000000,-13.80000000000,0,2.0800000000,0.0500000000,-0.0200000000,0,13.90000000,,,0,273.32000000,111.24000000,-69.92000000,0,0.290000,0.160000,-0.090000,0,3.3719,0.1158,-0.1158,0,377.31,5.49,-5.49,0,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.540000,0.080000,-0.080000,0,72.06910000,0.68540000,-0.67280000
2M0437 b,1,1,Imaging,,,,,118.0000000000,1.3000000000,-1.3000000000,0,13.00000000,,,0,1271.31362800,317.82840700,-317.82840700,0,,,,,0.0000,0.0000,0.0000,0,1450.00,50.00,-50.00,0,3100.00,100.00,-100.00,0,0.840000,0.110000,-0.110000,0,0.170000,0.010000,-0.020000,0,128.48400000,1.19600000,-1.17400000
2MASS J01033563-5515561 AB b,2,1,Imaging,,,,,84.0000000000,,,0,12.30000000,,,0,4131.79000000,317.83000000,-317.83000000,0,,,,,,,,,,,,,,,,,,,,,0.190000,0.020000,-0.020000,0,47.20000000,3.10000000,-3.10000000
2MASS J01225093-2439505 b,1,1,Imaging,,,,,52.0000000000,6.0000000000,-6.0000000000,0,11.20900000,,,0,7786.50000000,794.50000000,-794.50000000,0,,,,,0.0000,0.0000,0.0000,0,1600.00,100.00,-100.00,0,3530.00,50.00,-50.00,0,0.366450,0.011155,-0.011155,0,0.400000,0.050000,-0.050000,0,33.82810000,0.08640000,-0.08600000
2MASS J02192210-3925225 b,1,1,Imaging,,,,,156.0000000000,10.0000000000,-10.0000000000,0,16.14096000,0.33627000,-0.33627000,0,4417.83700000,349.61300000,-349.61300000,0,,,,,0.0000,0.0000,0.0000,0,6.27,0.29,-0.29,0,3064.00,76.00,-76.00,0,0.281000,0.013000,-0.013000,0,0.108000,0.011000,-0.011000,0,40.08964117,0.19404958,-0.19404958
2MASS J0249-0557 c,2,1,Imaging,,,,,1950.0000000000,200.0000000000,-200.0000000000,0,17.37392009,0.33626942,-0.33626942,0,3616.88727166,244.72787339,-244.72787339,0,,,,,0.0000,0.0000,0.0000,0,1723.00,,,0,2859.00,157.00,-157.00,0,0.315959,0.009624,-0.009624,0,0.046000,0.012000,-0.011000,0,66.06130000,0.45430000,-0.44820000
2MASS J03590986+2009361 b,1,1,Imaging,,,,,572.0000000000,7.0000000000,-7.0000000000,0,12.20000000,,,0,5720.91132600,317.82840700,-317.82840700,0,,,,,0.0000,0.0000,0.0000,0,2369.00,21.00,-5.00,0,2943.00,157.00,-157.00,0,0.289776,0.010070,-0.010070,0,0.264996,0.020979,-0.020979,0,117.43500000,2.32000000,-2.23300000
2MASS J04414489+2301513 b,1,1,Imaging,,,,,15.0000000000,,,0,12.60000000,,,0,2383.60000000,794.50000000,-794.50000000,0,,,,,0.0000,,,0,17.60,,,0,2936.00,182.00,-182.00,0,0.231916,0.011553,-0.011553,0,0.019000,,,0,120.42398696,5.47834170,-5.47834170
2MASS J11011926-7732383 b,1,1,Imaging,,,,,266.0000000000,8.0000000000,-8.0000000000,0,11.90000000,,,0,8899.19539600,3178.28407000,-2224.79884900,0,,,,,,,,,2677.00,78.00,-76.00,0,,,,,,,,,,,,,,,
2MASS J11550485-7919108 b,1,1,Imaging,,,,,587.0000000000,2.0000000000,-2.0000000000,0,12.10000000,,,0,6356.56814000,317.82840700,-317.82840700,0,,,,,0.0000,0.0000,0.0000,0,2506.00,2.00,-2.00,0,3021.00,157.00,-157.00,0,0.600455,0.017923,-0.017923,0,0.588460,0.020331,-0.020331,0,100.86200000,0.60300000,-0.59600000
2MASS J12073346-3932539 b,1,1,Imaging,,,,,46.0000000000,5.0000000000,-5.0000000000,0,15.69257298,0.33626942,-0.44835923,0,1652.70771640,190.69704420,-222.47988490,0,,,,,0.0000,0.0000,0.0000,0,1163.00,23.00,-21.00,0,2825.00,157.00,-157.00,0,0.218870,0.006976,-0.006976,0,0.188001,0.020227,-0.020227,0,64.30800000,0.65690000,-0.64400000
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,406.00000000000,4.00000000000,-4.00000000000,0,0.9200000000,0.0200000000,-0.0200000000,0,13.40000000,,,0,603.87700000,31.78300000,-31.78300000,0,0.330000,0.050000,-0.050000,0,33.2985,,,0,669.65,,,0,29564.00,,,0,0.203000,0.001000,-0.001000,0,0.480000,,,0,396.33200000,6.38850000,-6.38850000
2MASS J21252752-8138278 b,1,1,Imaging,,,,,7493.0000000000,11.0000000000,-11.0000000000,0,12.40000000,,,0,3813.94088400,317.82840700,-317.82840700,0,,,,,0.0000,0.0000,0.0000,0,1616.00,32.00,-3.00,0,3592.00,157.00,-157.00,0,0.672832,0.020973,-0.020973,0,0.643977,0.020802,-0.020802,0,34.11540000,0.08110000,-0.08070000
2MASS J22362452+4751425 b,1,1,Imaging,,,,,230.0000000000,20.0000000000,-20.0000000000,0,12.30000000,,,0,3972.87500000,476.74500000,-476.74500000,0,,,,,0.0000,0.0000,0.0000,0,10.30,0.67,-0.67,0,4045.00,35.00,-35.00,0,0.641152,0.060021,-0.062602,0,0.600000,0.050000,-0.050000,0,69.57370000,0.15920000,-0.15850000
2MASS J22501512+2325342 b,1,1,Imaging,,,,,518.0000000000,40.0000000000,-40.0000000000,0,11.90000000,,,0,9534.85221000,3496.11247700,-1271.31362800,0,,,,,0.0000,0.0000,0.0000,0,1600.00,200.00,-200.00,0,3352.00,157.00,-157.00,0,0.437589,0.012922,-0.012922,0,0.433173,0.020207,-0.020207,0,57.23090000,0.14370000,-0.14290000
4 UMa b,1,1,Radial Velocity,270.27000000000,0.24000000000,-0.09000000000,0,0.8770000000,0.0010000000,0.0000000000,0,12.60000000,,,0,2511.48007211,63.24785299,-120.13913785,0,0.453000,0.021000,-0.036000,0,150.0929,2.7762,-2.7762,0,967.44,42.15,-42.15,0,4415.00,70.00,-70.00,0,18.110000,1.470000,-1.470000,0,1.234000,0.150000,-0.150000,0,73.46030000,1.18605000,-1.18605000
47 UMa b,1,3,Radial Velocity,1078.00000000000,2.00000000000,-2.00000000000,0,2.1000000000,0.0200000000,-0.0200000000,0,13.20000000,,,0,804.08000000,22.25000000,-19.07000000,0,0.032000,0.014000,-0.014000,0,0.3576,0.0119,-0.0119,0,215.23,5.83,-5.83,0,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,13.79670000,0.02890000,-0.02890000
47 UMa c,1,3,Radial Velocity,2391.00000000000,100.00000000000,-87.00000000000,0,3.6000000000,0.1000000000,-0.1000000000,0,14.20000000,,,0,171.62100000,20.97600000,-23.20100000,0,0.098000,0.047000,-0.096000,0,0.1217,0.0075,-0.0075,0,164.38,4.94,-4.94,0,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,13.79670000,0.02890000,-0.02890000
47 UMa d,1,3,Radial Velocity,14002.00000000000,4018.00000000000,-5095.00000000000,0,11.6000000000,2.1000000000,-2.9000000000,0,13.50000000,,,0,521.22000000,92.17000000,-152.55000000,0,0.160000,0.090000,-0.160000,0,0.0117,0.0051,-0.0051,0,91.58,10.17,-10.17,0,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,13.79670000,0.02890000,-0.02890000
51 Eri b,3,1,Imaging,9100.00000000000,1100.00000000000,-1500.00000000000,0,10.4000000000,0.8000000000,-1.1000000000,0,,,,,3464.32963630,,,1,0.570000,0.080000,-0.060000,0,0.0529,0.0097,-0.0097,0,807.00,45.00,-45.00,0,7422.00,58.00,-58.00,0,1.450000,0.020000,-0.020000,0,1.750000,0.050000,-0.050000,0,29.75750000,0.12130000,-0.12030000
51 Peg b,1,1,Radial Velocity,4.23079660000,0.00000270000,-0.00000270000,0,0.0520000000,,,0,14.10000000,,,0,193.87532827,19.06970442,-15.89142035,0,0.006300,,,1,506.1775,,,0,1328.93,,,0,5761.00,95.00,-95.00,0,1.190000,0.030000,-0.030000,0,1.070000,0.050000,-0.050000,0,15.46140000,0.02970000,-0.02970000
55 Cnc B b,2,7,Radial Velocity,6.79940000000,0.00130000000,-0.00140000000,0,0.0440000000,0.0012000000,-0.0012000000,0,1.69000000,,,0,3.50000000,0.80000000,-0.80000000,0,0.000000,,,0,4.0271,1.0899,-1.0899,0,395.41,48.07,-48.07,0,3286.00,31.00,-31.00,0,0.274000,0.066000,-0.066000,0,0.260000,0.020000,-0.020000,0,12.47730000,0.01710000,-0.01710000
55 Cnc B c,2,7,Radial Velocity,33.74700000000,0.03500000000,-0.03500000000,0,0.1300000000,0.0030000000,-0.0030000000,0,2.16000000,,,0,5.30000000,1.40000000,-1.40000000,0,0.000000,,,0,0.4613,0.1241,-0.1241,0,230.04,27.92,-27.92,0,3286.00,31.00,-31.00,0,0.274000,0.066000,-0.066000,0,0.260000,0.020000,-0.020000,0,12.47730000,0.01710000,-0.01710000
55 Cnc b,2,7,Radial Velocity,14.65155200000,0.00003600000,-0.00003600000,0,0.1180000000,0.0020000000,-0.0020000000,0,13.90000000,,,0,263.97850000,1.04880000,-1.04880000,0,0.002900,0.002700,-0.002000,0,45.6336,1.9593,-1.9593,0,700.00,,,0,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,12.58550000,0.01240000,-0.01230000
55 Cnc c,2,7,Radial Velocity,44.39360000000,0.00240000000,-0.00240000000,0,0.2470000000,0.0040000000,-0.0040000000,0,8.51000000,,,0,54.47380000,1.74800000,-1.74800000,0,0.088000,0.230000,-0.230000,0,10.4149,0.4349,-0.4349,0,499.27,6.47,-6.47,0,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,12.58550000,0.01240000,-0.01230000
55 Cnc d,2,7,Radial Velocity,4799.00000000000,4.90000000000,-15.00000000000,0,5.6000000000,0.1000000000,-0.1000000000,0,13.00000000,,,0,1232.49300000,21.61200000,-21.61200000,0,0.091300,0.006700,-0.006700,0,0.0203,0.0009,-0.0009,0,104.85,1.41,-1.41,0,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,12.58550000,0.01240000,-0.01230000
55 Cnc e,2,7,Radial Velocity,0.73654740000,0.00000130000,-0.00000140000,0,0.0154400000,0.0000500000,-0.0000500000,0,1.87500000,0.02900000,-0.02900000,0,7.99000000,0.32000000,-0.33000000,0,0.050000,0.030000,-0.030000,0,2657.8322,,,0,1958.00,15.00,-15.00,0,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,0.905000,0.015000,-0.015000,0,12.58550000,0.01240000,-0.01230000
55 Cnc f,2,7,Radial Velocity,260.58000000000,0.15000000000,-0.15000000000,0,0.8020000000,0.0140000000,-0.0140000000,0,7.59000000,,,0,44.81200000,3.81400000,-3.81400000,0,0.063000,0.048000,-0.043000,0,0.9879,0.0432,-0.0432,0,277.07,3.70,-3.70,0,5198.00,31.00,-31.00,0,0.980000,0.016000,-0.016000,0,1.015000,0.051000,-0.051000,0,12.58550000,0.01240000,-0.01230000
6 Lyn b,1,1,Radial Velocity,919.86000000000,1.92000000000,-3.71000000000,0,2.0280000000,0.0030000000,-0.0050000000,0,13.40000000,,,0,597.83523357,12.07747947,-28.28672822,0,0.042000,0.024000,-0.032000,0,3.1949,0.7125,-0.7125,0,371.86,,,0,4941.00,,,0,4.940000,0.550000,-0.500000,0,1.320000,0.200000,-0.210000,0,54.65990000,0.27340000,-0.27340000
61 Vir b,1,3,Radial Velocity,4.21500000000,0.00060000000,-0.00060000000,0,0.0502010000,0.0000050000,-0.0000050000,0,2.11000000,,,0,5.10000000,0.50000000,-0.50000000,0,0.120000,0.110000,-0.110000,0,318.8418,2.2034,-2.2034,0,1177.85,9.69,-9.69,0,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,0.942000,0.034000,-0.029000,0,8.50332000,0.01737000,-0.01730000
61 Vir c,1,3,Radial Velocity,38.02100000000,0.03400000000,-0.03400000000,0,0.2175000000,0.0001000000,-0.0001000000,0,4.46000000,,,0,18.20000000,1.10000000,-1.10000000,0,0.140000,0.060000,-0.060000,0,16.9856,0.1184,-0.1184,0,565.87,4.66,-4.66,0,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,0.942000,0.034000,-0.029000,0,8.50332000,0.01737000,-0.01730000
61 Vir d,1,3,Radial Velocity,123.01000000000,0.55000000000,-0.55000000000,0,0.4760000000,0.0010000000,-0.0010000000,0,5.11000000,,,0,22.90000000,2.60000000,-2.60000000,0,0.350000,0.090000,-0.090000,0,3.5464,0.0287,-0.0287,0,382.51,3.17,-3.17,0,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,0.942000,0.034000,-0.029000,0,8.50332000,0.01737000,-0.01730000
7 CMa b,1,2,Radial Velocity,735.10000000000,14.80000000000,-1.00000000000,0,1.7580000000,0.0240000000,-0.0010000000,0,13.40000000,,,0,587.98550000,19.06980000,-19.06980000,0,0.060000,0.030000,-0.030000,0,3.7372,0.0978,-0.0978,0,387.33,7.48,-7.48,0,4826.00,45.00,-55.00,0,4.870000,0.170000,-0.140000,0,1.340000,0.110000,-0.120000,0,19.81010000,0.16480000,-0.16480000
7 CMa c,1,2,Radial Velocity,996.00000000000,1.50000000000,-52.40000000000,0,2.1530000000,0.0030000000,-0.0800000000,0,13.90000000,,,0,276.51210000,19.06980000,-19.06980000,0,0.080000,0.050000,-0.040000,0,2.4917,0.1106,-0.1106,0,350.00,7.45,-7.45,0,4826.00,45.00,-55.00,0,4.870000,0.170000,-0.140000,0,1.340000,0.110000,-0.120000,0,19.81010000,0.16480000,-0.16480000
70 Vir b,1,1,Radial Velocity,116.68800000000,0.00540000000,-0.00540000000,0,0.4810000000,0.0220000000,-0.0220000000,0,12.60000000,,,0,2380.45000000,193.87000000,-193.87000000,0,0.398800,0.001900,-0.001900,0,12.2183,1.1492,-1.1492,0,525.24,,,0,5495.00,,,0,1.890000,,,0,1.090000,,,0,17.90110000,0.05600000,-0.05570000
75 Cet b,2,2,Radial Velocity,696.62000000000,1.33000000000,-1.69000000000,0,1.9120000000,0.0020000000,-0.0030000000,0,13.30000000,,,0,787.89662095,23.51930212,-28.60455663,0,0.093000,0.026000,-0.042000,0,14.1750,0.5415,-0.5415,0,540.31,,,0,4809.00,,,0,10.380000,0.150000,-0.260000,0,1.920000,0.070000,-0.080000,0,82.96130000,0.72365000,-0.72365000
75 Cet c,2,2,Radial Velocity,2051.62000000000,45.98000000000,-40.47000000000,0,3.9290000000,0.0580000000,-0.0520000000,0,13.90000000,,,0,289.85950718,27.96889982,-45.44946220,0,0.023000,0.191000,-0.003000,0,3.3569,0.1587,-0.1587,0,376.92,,,0,4809.00,,,0,10.380000,0.150000,-0.260000,0,1.920000,0.070000,-0.080000,0,82.96130000,0.72365000,-0.72365000
8 UMi b,1,1,Radial Velocity,93.31000000000,0.06000000000,-0.06000000000,0,0.4620000000,0.0060000000,-0.0060000000,0,13.50000000,,,0,524.41687155,19.06970442,-19.06970442,0,0.062000,0.028000,-0.030000,0,247.8402,28.4941,-28.4941,0,1126.38,25.45,-25.45,0,4847.00,100.00,-100.00,0,10.730000,0.140000,-0.140000,0,1.510000,0.060000,-0.060000,0,162.55200000,0.65100000,-0.64600000
81 Cet b,1,1,Radial Velocity,1005.57000000000,1.84000000000,-1.94000000000,0,2.1040000000,0.0030000000,-0.0030000000,0,13.10000000,,,0,1051.05854195,24.79061575,-21.29450327,0,0.037000,0.015000,-0.025000,0,13.0071,1.4972,-1.4972,0,526.92,,,0,4734.00,,,0,11.210000,0.810000,-0.350000,0,1.230000,0.300000,-0.250000,0,101.26000000,1.22200000,-1.22200000
